Kon (pM^-n)*s^-1,Koff (s^-1),n
1.057e-05,0.0002462,1.021
1.075e-05,0.0002309,1.028
1.063e-05,0.0002345,1.015
1.186e-05,0.0002366,0.9937
7.476e-06,0.0002596,1.084
1.044e-05,0.0002481,1.019
1.128e-05,0.0002558,1.014
7.568e-06,0.0002336,1.074
1.29e-05,0.0002529,0.9746
9.258e-06,0.0002367,1.032
1.156e-05,0.0002593,1.004
9.924e-06,0.0002446,1.014
7.955e-06,0.0002402,1.058
9.621e-06,0.0002303,1.031
1.128e-05,0.0002393,1.005
1.062e-05,0.0002447,1.006
9.693e-06,0.0002443,1.02
1.181e-05,0.0002477,0.9965
1.398e-05,0.0002643,0.9652
1.068e-05,0.0002609,1.012
1.288e-05,0.0002425,0.9819
7.332e-06,0.0002309,1.067
1.068e-05,0.0002296,1.013
1.221e-05,0.0002403,1
9.397e-06,0.0002426,1.034
1.271e-05,0.0002361,0.9808
9.099e-06,0.0002479,1.048
1.031e-05,0.0002486,1.014
1.143e-05,0.0002494,1.017
1.009e-05,0.0002291,1.023
1.05e-05,0.000277,1.019
9.486e-06,0.0002502,1.042
1.019e-05,0.0002535,1.026
1.184e-05,0.0002586,0.9922
1.043e-05,0.0002478,1.02
8.138e-06,0.0002419,1.059
1.192e-05,0.0002467,0.9914
1.132e-05,0.0002492,1.011
1.067e-05,0.0002445,1.015
8.576e-06,0.0002573,1.06
1.248e-05,0.0002357,0.9722
1.061e-05,0.0002354,1.013
9.515e-06,0.0002364,1.028
9.163e-06,0.0002356,1.044
7.632e-06,0.0002407,1.062
1.007e-05,0.0002247,1.018
9.473e-06,0.0002333,1.03
8.846e-06,0.0002344,1.043
8.09e-06,0.0002442,1.07
1.254e-05,0.0002477,0.9891
9.534e-06,0.0002709,1.034
1.052e-05,0.0002386,1.007
8.077e-06,0.0002225,1.057
9.627e-06,0.0002598,1.029
8.039e-06,0.0002281,1.069
1.24e-05,0.0002694,0.992
7.678e-06,0.0002295,1.067
8.084e-06,0.0002534,1.052
1.151e-05,0.0002595,1.013
1.046e-05,0.0002265,1.018
8.782e-06,0.0002507,1.045
9.119e-06,0.0002337,1.038
7.066e-06,0.0002619,1.086
9.206e-06,0.0002192,1.038
7.566e-06,0.0002581,1.08
7.628e-06,0.000245,1.071
1.302e-05,0.0002453,0.9782
1.058e-05,0.0002419,1.02
1.259e-05,0.000242,0.9849
9.62e-06,0.000268,1.036
8.038e-06,0.0002422,1.055
1.436e-05,0.0002522,0.9645
8.466e-06,0.000238,1.057
1.114e-05,0.000237,1.005
9.216e-06,0.0002445,1.038
1.027e-05,0.0002582,1.018
1.169e-05,0.0002576,0.994
1.006e-05,0.0002617,1.025
1.091e-05,0.0002594,1.009
9.993e-06,0.0002361,1.033
9.207e-06,0.0002743,1.055
1.121e-05,0.0002654,1.007
1.384e-05,0.0002564,0.9687
1.176e-05,0.0002545,0.9997
1.157e-05,0.0002337,0.9932
1.039e-05,0.0002581,1.015
8.694e-06,0.0002466,1.061
1.039e-05,0.0002722,1.025
1.174e-05,0.0002593,1.002
1.002e-05,0.0002533,1.019
1.177e-05,0.0002406,1.007
1.495e-05,0.0002641,0.9452
7.113e-06,0.0002395,1.088
9.431e-06,0.0002417,1.042
1.102e-05,0.0002595,0.9972
9.458e-06,0.0002362,1.042
1.28e-05,0.0002608,0.9836
8.581e-06,0.000238,1.042
1.322e-05,0.0002503,0.9616
1.001e-05,0.0002452,1.021
1.01e-05,0.0002458,1.027
9.336e-06,0.0002346,1.032
8.7e-06,0.0002419,1.054
9.121e-06,0.0002303,1.046
9.626e-06,0.0002399,1.038
1.255e-05,0.0002292,0.9864
1.257e-05,0.000238,0.9887
8.988e-06,0.0002562,1.049
1.17e-05,0.0002504,0.9984
1.043e-05,0.0002443,1.019
1.072e-05,0.0002303,1.019
7.16e-06,0.0002515,1.078
1.069e-05,0.0002593,1.012
9.205e-06,0.0002546,1.04
7.477e-06,0.0002468,1.071
1.012e-05,0.0002479,1.018
9.184e-06,0.0002322,1.042
9.931e-06,0.0002438,1.028
1.222e-05,0.0002664,0.987
1.048e-05,0.0002228,1.018
9.503e-06,0.0002499,1.025
7.474e-06,0.0002311,1.076
1.01e-05,0.00024,1.031
9.268e-06,0.0002437,1.034
9.066e-06,0.0002427,1.039
1.095e-05,0.0002443,1.007
1.03e-05,0.0002394,1.023
7.914e-06,0.0002151,1.075
1.237e-05,0.0002471,0.9964
1.049e-05,0.0002618,1.01
1.318e-05,0.0002545,0.9852
1.428e-05,0.0002393,0.9605
7.915e-06,0.0002257,1.045
1.163e-05,0.0002693,1.001
6.877e-06,0.0002528,1.099
8.149e-06,0.0002382,1.059
1.328e-05,0.0002709,0.9825
1.064e-05,0.0002532,1.008
1.141e-05,0.0002509,1.01
1.334e-05,0.0002826,0.982
9.713e-06,0.0002386,1.032
8.224e-06,0.000261,1.062
9.854e-06,0.0002522,1.021
7.775e-06,0.0002245,1.071
1.115e-05,0.0002522,0.9925
9.824e-06,0.0002579,1.023
8.596e-06,0.0002224,1.042
1.135e-05,0.0002352,0.9886
9.365e-06,0.0002454,1.033
8.857e-06,0.0002279,1.041
8.274e-06,0.0002504,1.062
1.251e-05,0.0002634,0.9897
9.776e-06,0.0002298,1.026
9.095e-06,0.0002396,1.041
1.169e-05,0.0002407,0.9939
7.391e-06,0.0002284,1.075
1.075e-05,0.000244,1.009
9.885e-06,0.0002515,1.019
1.107e-05,0.0002445,1.009
1.171e-05,0.0002794,0.9972
9.043e-06,0.0002441,1.036
9.177e-06,0.0002456,1.042
1.194e-05,0.0002229,0.9884
8.039e-06,0.0002581,1.068
1.268e-05,0.0002305,0.9759
1.157e-05,0.0002553,1.005
6.83e-06,0.0002293,1.088
1.002e-05,0.0002406,1.02
1.258e-05,0.0002454,0.9868
1.083e-05,0.0002302,1.006
1.141e-05,0.0002285,1.001
1.239e-05,0.0002383,0.99
9.317e-06,0.0002465,1.04
9.551e-06,0.0002446,1.024
8.011e-06,0.0002392,1.07
7.915e-06,0.0002451,1.067
8.132e-06,0.0002664,1.06
9.07e-06,0.0002404,1.035
7.15e-06,0.0002482,1.088
8.902e-06,0.0002451,1.055
8.777e-06,0.0002511,1.059
9.918e-06,0.0002574,1.015
1.001e-05,0.0002429,1.027
1.185e-05,0.0002512,1.001
1.181e-05,0.0002385,1
7.98e-06,0.0002464,1.06
8.334e-06,0.0002315,1.061
1.079e-05,0.0002525,1.005
9.818e-06,0.0002651,1.027
1.29e-05,0.0002476,0.9813
7.75e-06,0.0002705,1.082
1.167e-05,0.000244,0.9872
9.524e-06,0.0002544,1.037
8.01e-06,0.0002378,1.063
8.615e-06,0.0002343,1.052
5.928e-06,0.0002396,1.121
7.372e-06,0.0002415,1.067
8.137e-06,0.0002542,1.074
7.883e-06,0.0002576,1.067
9.364e-06,0.0002467,1.044
1.184e-05,0.0002597,0.9948
1.047e-05,0.0002571,1.018
1.248e-05,0.0002551,0.9847
1.026e-05,0.0002451,1.028
8.553e-06,0.0002441,1.049
1.06e-05,0.0002716,1.018
1.202e-05,0.0002341,0.9954
1.271e-05,0.0002697,0.9891
1.383e-05,0.0002649,0.9717
9.27e-06,0.0002465,1.044
1.282e-05,0.0002537,0.9816
7.932e-06,0.0002401,1.066
9.552e-06,0.000252,1.032
1.247e-05,0.0002506,0.9752
1.111e-05,0.0002523,0.9951
1.005e-05,0.0002364,1.021
8.316e-06,0.0002441,1.055
9.406e-06,0.0002605,1.043
9.506e-06,0.0002539,1.031
8.572e-06,0.0002318,1.053
1.367e-05,0.0002551,0.9722
1.098e-05,0.0002502,1.003
8.137e-06,0.0002361,1.054
1.066e-05,0.0002449,1.007
1.304e-05,0.0002548,0.9848
1.214e-05,0.000239,0.9848
8.571e-06,0.0002417,1.05
8.816e-06,0.0002597,1.045
7.885e-06,0.0002338,1.054
7.311e-06,0.0002266,1.08
1.145e-05,0.0002702,0.9934
1.049e-05,0.0002362,1.008
1.22e-05,0.0002594,0.9861
8.674e-06,0.0002464,1.052
8.901e-06,0.0002429,1.047
1.004e-05,0.000239,1.012
9.806e-06,0.0002538,1.026
1.257e-05,0.0002412,0.9886
8.304e-06,0.0002422,1.057
1.132e-05,0.0002531,1.003
9.914e-06,0.0002731,1.026
9.245e-06,0.0002122,1.037
1.138e-05,0.0002744,1.015
1.071e-05,0.0002505,1.01
1.002e-05,0.0002383,1.024
6.307e-06,0.0002586,1.115
1.091e-05,0.0002512,1.012
8.049e-06,0.0002333,1.065
8.132e-06,0.0002377,1.066
8.42e-06,0.0002508,1.05
1.342e-05,0.0002622,0.9688
8.031e-06,0.000242,1.066
8.704e-06,0.0002599,1.041
7.761e-06,0.0002646,1.071
8.379e-06,0.0002507,1.052
9.428e-06,0.000247,1.037
1.016e-05,0.0002341,1.016
8.128e-06,0.0002248,1.06
8.584e-06,0.0002582,1.049
1.025e-05,0.000225,1.025
1.004e-05,0.000249,1.028
9.669e-06,0.0002553,1.033
1.305e-05,0.0002527,0.986
1.149e-05,0.0002345,1.004
1.12e-05,0.0002726,1.005
9.034e-06,0.0002441,1.032
8.671e-06,0.0002307,1.043
8.56e-06,0.0002524,1.044
1.465e-05,0.0002522,0.959
1.177e-05,0.0002735,0.9966
1.128e-05,0.0002565,0.9955
1.322e-05,0.0002555,0.9763
1.036e-05,0.0002602,1.028
8.373e-06,0.0002488,1.057
8.648e-06,0.0002509,1.042
1.17e-05,0.000251,1.003
1.12e-05,0.000249,1.008
1.06e-05,0.000238,1.017
1.323e-05,0.0002494,0.9649
9.685e-06,0.0002529,1.027
1.142e-05,0.0002565,1.014
1.071e-05,0.0002459,1.017
9.191e-06,0.0002714,1.037
1.104e-05,0.0002371,1.01
1.04e-05,0.000244,1.006
1.063e-05,0.0002455,1.011
1.26e-05,0.0002392,0.9843
8.825e-06,0.0002393,1.041
1.027e-05,0.000256,1.018
8.447e-06,0.0002377,1.058
1.15e-05,0.0002645,1.006
1.023e-05,0.0002246,1.021
9.255e-06,0.0002279,1.036
9.902e-06,0.0002429,1.028
9.255e-06,0.000231,1.024
7.299e-06,0.0002357,1.081
8.261e-06,0.0002375,1.06
9.349e-06,0.0002784,1.032
8.291e-06,0.0002603,1.064
1.348e-05,0.0002664,0.9673
1.067e-05,0.0002434,1.025
9.393e-06,0.0002539,1.046
9.742e-06,0.0002587,1.026
8.567e-06,0.0002445,1.042
1.145e-05,0.0002526,0.9955
1.043e-05,0.0002448,1.015
1.068e-05,0.0002555,1.013
1.036e-05,0.0002566,1.017
1.295e-05,0.0002299,0.9782
1.283e-05,0.0002388,0.9843
7.074e-06,0.0002349,1.081
1.144e-05,0.0002549,1.002
9.766e-06,0.0002227,1.028
1.157e-05,0.0002554,0.9976
1.423e-05,0.0002438,0.9534
9.424e-06,0.000244,1.039
1.08e-05,0.000232,1.014
8.531e-06,0.000238,1.048
1.068e-05,0.0002412,1.025
1.035e-05,0.000256,1.03
9.399e-06,0.0002468,1.033
1.209e-05,0.0002455,0.9866
1.156e-05,0.0002292,1.003
7.983e-06,0.0002576,1.068
9.282e-06,0.0002541,1.028
1.33e-05,0.0002382,0.9778
9.28e-06,0.0002469,1.036
9.097e-06,0.0002435,1.042
9.339e-06,0.0002437,1.042
8.953e-06,0.0002474,1.051
8.549e-06,0.0002395,1.038
1.184e-05,0.0002543,0.9902
9.883e-06,0.0002389,1.027
1.022e-05,0.0002511,1.016
1.007e-05,0.0002601,1.031
1.289e-05,0.0002447,0.9794
1.078e-05,0.0002375,1.002
1.263e-05,0.0002319,0.992
1.13e-05,0.0002561,1.006
1.056e-05,0.0002417,1.005
1.232e-05,0.0002358,0.9842
1.154e-05,0.0002714,1.004
7.173e-06,0.0002344,1.08
8.314e-06,0.000249,1.055
1.416e-05,0.000245,0.9671
9.438e-06,0.000283,1.038
1.139e-05,0.0002325,0.9904
8.245e-06,0.0002272,1.055
1.001e-05,0.000242,1.016
1.071e-05,0.0002541,1.012
1.148e-05,0.0002586,0.997
1.309e-05,0.0002672,0.976
9.389e-06,0.0002253,1.036
8.994e-06,0.0002776,1.048
8.269e-06,0.0002422,1.057
1.183e-05,0.0002457,0.9922
1.224e-05,0.0002604,0.9973
6.766e-06,0.0002354,1.086
9.267e-06,0.0002409,1.035
1.025e-05,0.0002462,1.007
8.216e-06,0.0002628,1.065
7.771e-06,0.0002345,1.068
1.209e-05,0.0002389,0.9847
1.146e-05,0.0002473,1.002
1.388e-05,0.0002585,0.9758
8.571e-06,0.0002469,1.044
9.97e-06,0.0002722,1.023
1.161e-05,0.0002359,1.002
1.052e-05,0.0002486,1.019
9.718e-06,0.0002216,1.029
8.802e-06,0.0002402,1.051
9.719e-06,0.000255,1.028
9.555e-06,0.0002286,1.034
1.05e-05,0.0002619,1.021
8.924e-06,0.000264,1.037
1.022e-05,0.0002579,1.016
9.105e-06,0.0002396,1.046
1.142e-05,0.000252,0.995
8.825e-06,0.000242,1.047
1.116e-05,0.000252,1.002
8.189e-06,0.0002449,1.061
9.067e-06,0.0002782,1.034
1.022e-05,0.0002494,1.014
8.072e-06,0.0002365,1.067
1.008e-05,0.0002546,1.026
7.654e-06,0.0002288,1.072
1.085e-05,0.0002333,1.008
1.298e-05,0.000276,0.9755
1.375e-05,0.0002423,0.9738
1.091e-05,0.0002241,1.008
1.043e-05,0.0002391,1.017
8.738e-06,0.0002237,1.055
1.043e-05,0.0002517,1.019
9.602e-06,0.0002361,1.037
9.786e-06,0.0002479,1.021
7.89e-06,0.0002317,1.065
1.032e-05,0.0002345,1.014
1.228e-05,0.0002378,0.9968
8.188e-06,0.000233,1.048
1.057e-05,0.0002703,1.016
1.106e-05,0.0002744,1.009
9.332e-06,0.0002351,1.028
9.294e-06,0.0002605,1.034
1.089e-05,0.0002683,1.005
1.361e-05,0.0002425,0.9747
1.135e-05,0.0002396,1.004
7.245e-06,0.0002539,1.088
1.079e-05,0.0002368,1.002
1.084e-05,0.0002291,1.014
1.037e-05,0.0002405,1.021
1.214e-05,0.0002292,0.9774
1.419e-05,0.0002505,0.9586
1.09e-05,0.0002385,1.022
9.532e-06,0.0002353,1.025
7.522e-06,0.0002476,1.073
9.869e-06,0.0002488,1.033
1.099e-05,0.0002391,1.006
8.348e-06,0.0002611,1.053
7.623e-06,0.0002378,1.071
8.825e-06,0.0002529,1.051
9.312e-06,0.0002635,1.037
1.05e-05,0.0002417,1.009
8.763e-06,0.0002473,1.051
7.032e-06,0.0002341,1.093
7.986e-06,0.0002417,1.065
1.184e-05,0.0002601,1.004
1.056e-05,0.0002505,1.021
1.051e-05,0.0002521,1.022
6.647e-06,0.0002321,1.097
1.033e-05,0.0002306,1.01
7.805e-06,0.0002388,1.068
1.04e-05,0.0002526,1.018
9.378e-06,0.0002583,1.043
9.715e-06,0.0002515,1.034
9.897e-06,0.0002436,1.019
1.094e-05,0.0002497,1.01
1.33e-05,0.0002551,0.9694
8.311e-06,0.0002546,1.061
1.091e-05,0.0002601,1.011
1.058e-05,0.0002422,1.022
1.25e-05,0.0002346,0.9897
1.063e-05,0.0002641,1.007
1.212e-05,0.0002593,0.9944
1.079e-05,0.0002373,1.01
1.061e-05,0.0002371,0.9984
7.255e-06,0.0002392,1.082
8.34e-06,0.0002398,1.05
1.117e-05,0.0002331,1.014
9.081e-06,0.0002598,1.049
1.227e-05,0.0002551,0.9813
1.104e-05,0.000284,1.011
1.286e-05,0.0002489,0.9846
1.195e-05,0.0002652,0.9946
1.279e-05,0.000241,0.9726
1.053e-05,0.0002578,1.011
9.948e-06,0.0002606,1.032
1.046e-05,0.0002446,1.023
8.339e-06,0.0002308,1.055
7.815e-06,0.0002602,1.058
1.567e-05,0.0002521,0.9583
1.083e-05,0.0002391,1.02
1.439e-05,0.0002566,0.9663
1.186e-05,0.0002417,0.9927
9.886e-06,0.0002727,1.02
1.048e-05,0.0002416,1.02
1.148e-05,0.0002482,0.9958
9.762e-06,0.0002546,1.019
9.921e-06,0.0002415,1.033
8.447e-06,0.0002579,1.059
8.654e-06,0.0002287,1.053
7.558e-06,0.0002312,1.087
1.171e-05,0.0002664,1.001
1.148e-05,0.0002539,1.001
8.44e-06,0.0002374,1.056
1.054e-05,0.0002449,1.016
1.081e-05,0.0002547,1.009
1.087e-05,0.0002262,1.01
7.912e-06,0.0002321,1.07
9.254e-06,0.0002408,1.037
8.243e-06,0.0002474,1.05
1.161e-05,0.0002639,0.9974
1.007e-05,0.0002259,1.022
1.495e-05,0.0002436,0.9525
9.597e-06,0.0002642,1.029
7.428e-06,0.000235,1.069
8.854e-06,0.0002389,1.041
7.269e-06,0.0002669,1.087
1.159e-05,0.0002503,0.9894
8.261e-06,0.0002454,1.067
7.698e-06,0.0002604,1.071
6.621e-06,0.0002462,1.096
1.247e-05,0.0002592,1
1.008e-05,0.0002633,1.026
1.049e-05,0.0002565,1.027
8.5e-06,0.0002369,1.044
1.104e-05,0.0002495,1.001
7.194e-06,0.0002648,1.075
1.07e-05,0.000227,1.009
1.428e-05,0.0002459,0.9669
6.694e-06,0.0002375,1.086
9.991e-06,0.0002518,1.029
1.155e-05,0.0002697,1.001
1.295e-05,0.0002583,0.9776
1.008e-05,0.0002366,1.027
7.865e-06,0.000258,1.07
8.323e-06,0.0002384,1.057
9.884e-06,0.0002369,1.018
1.069e-05,0.000257,1.021
6.374e-06,0.0002518,1.107
1.15e-05,0.0002422,0.9998
1.196e-05,0.0002471,0.9989
1.108e-05,0.0002496,1.015
6.256e-06,0.0002255,1.097
1.162e-05,0.0002657,0.9981
8.159e-06,0.0002335,1.056
1.364e-05,0.0002686,0.9758
1.067e-05,0.000245,1.012
8.795e-06,0.0002523,1.05
8.127e-06,0.0002538,1.052
9.369e-06,0.0002355,1.027
9.712e-06,0.0002438,1.032
1.01e-05,0.0002633,1.031
7.562e-06,0.0002394,1.076
1.147e-05,0.0002462,1.002
1.232e-05,0.0002731,0.9942
1.057e-05,0.0002485,1.017
8.151e-06,0.0002575,1.061
1.033e-05,0.0002582,1.025
1.049e-05,0.000249,1.019
9.983e-06,0.0002284,1.026
9.101e-06,0.0002451,1.041
1.131e-05,0.0002385,0.9986
1.024e-05,0.0002302,1.024
9.979e-06,0.0002432,1.023
1.002e-05,0.0002377,1.023
8.679e-06,0.0002426,1.055
8.95e-06,0.000236,1.052
8.054e-06,0.0002537,1.064
1.26e-05,0.0002596,0.9841
1.263e-05,0.0002436,0.9886
7.413e-06,0.0002472,1.067
1.038e-05,0.0002395,1.025
1.031e-05,0.0002437,1.012
8.734e-06,0.0002307,1.05
9.911e-06,0.0002454,1.032
7.787e-06,0.0002476,1.064
1.456e-05,0.0002524,0.9548
1.171e-05,0.0002764,0.9997
1.068e-05,0.0002524,1.004
8.194e-06,0.0002559,1.057
9.041e-06,0.0002546,1.037
8.18e-06,0.0002261,1.06
1.19e-05,0.0002667,0.9897
9.064e-06,0.0002383,1.045
1.079e-05,0.0002573,1.013
9.143e-06,0.0002525,1.049
9.024e-06,0.0002359,1.04
1.193e-05,0.000262,0.9973
1.211e-05,0.0002533,1
8.617e-06,0.0002271,1.047
9.429e-06,0.0002426,1.026
1.062e-05,0.0002517,1.018
1.119e-05,0.0002394,1.004
9.195e-06,0.0002343,1.035
1.309e-05,0.0002766,0.9845
1.174e-05,0.0002462,0.9997
1.014e-05,0.0002563,1.012
1.107e-05,0.0002442,1.007
1.044e-05,0.0002312,0.9981
8.874e-06,0.0002592,1.044
9.905e-06,0.0002412,1.021
8.079e-06,0.0002283,1.067
8.598e-06,0.0002244,1.049
1.505e-05,0.0002516,0.9487
8.963e-06,0.0002217,1.045
1.246e-05,0.0002628,0.9899
9.296e-06,0.0002335,1.037
9.45e-06,0.0002499,1.045
1.138e-05,0.0002771,1.006
1.136e-05,0.0002686,1.005
9.554e-06,0.0002428,1.033
1.064e-05,0.0002304,1.015
1.152e-05,0.0002344,1.001
1.169e-05,0.0002737,0.9929
1.192e-05,0.0002273,0.9935
1.049e-05,0.0002454,1.011
1.072e-05,0.0002631,1.017
1.069e-05,0.0002479,1.012
9.316e-06,0.0002479,1.028
1.339e-05,0.0002275,0.9695
8.602e-06,0.0002408,1.056
9.84e-06,0.0002488,1.033
1.135e-05,0.0002309,1.003
1.114e-05,0.0002548,1.008
1.253e-05,0.000264,0.989
1.04e-05,0.0002713,1.009
7.512e-06,0.0002338,1.084
1.061e-05,0.0002252,1
8.262e-06,0.0002392,1.054
1.105e-05,0.0002515,1.004
8.038e-06,0.0002434,1.067
1.051e-05,0.0002713,1.017
8.521e-06,0.0002233,1.043
1.026e-05,0.0002405,1.017
7.847e-06,0.0002337,1.065
1.342e-05,0.0002536,0.969
1.092e-05,0.0002459,1.008
9.729e-06,0.0002608,1.025
1.224e-05,0.0002409,0.9849
1.457e-05,0.000256,0.9543
1.193e-05,0.0002593,0.9957
1.302e-05,0.0002369,0.977
6.727e-06,0.0002492,1.098
8.347e-06,0.0002363,1.057
6.301e-06,0.0002453,1.109
1.043e-05,0.0002677,1.026
8.441e-06,0.0002483,1.042
1.51e-05,0.0002464,0.9525
7.114e-06,0.000244,1.079
1.13e-05,0.0002727,1.009
1.18e-05,0.0002409,0.9896
9.795e-06,0.0002326,1.028
9.984e-06,0.0002432,1.021
8.082e-06,0.0002438,1.064
1.149e-05,0.0002465,1.007
1.157e-05,0.0002397,0.9982
1.057e-05,0.0002383,1.014
1.034e-05,0.0002276,1.012
1.431e-05,0.00025,0.9561
1.268e-05,0.0002584,0.9797
1.057e-05,0.000239,1.025
9.553e-06,0.0002444,1.025
7.218e-06,0.0002535,1.09
1.144e-05,0.0002471,0.9922
1.113e-05,0.0002628,1.018
1.138e-05,0.0002354,1.005
8.001e-06,0.0002348,1.062
1.098e-05,0.0002588,1.009
9.198e-06,0.0002468,1.037
1.115e-05,0.0002508,1.008
1.143e-05,0.0002589,1.007
1.147e-05,0.0002602,1.005
7.707e-06,0.0002318,1.08
8.414e-06,0.000234,1.051
9.196e-06,0.0002571,1.044
1.166e-05,0.0002473,1.005
1.045e-05,0.00024,1.017
1.353e-05,0.0002433,0.9689
1.101e-05,0.0002538,0.9941
1.093e-05,0.0002489,1.007
1.043e-05,0.0002445,1.022
1.007e-05,0.0002543,1.022
9.213e-06,0.000245,1.043
9.885e-06,0.0002558,1.03
8.947e-06,0.0002532,1.048
9.37e-06,0.0002276,1.031
8.587e-06,0.0002479,1.052
1.211e-05,0.0002433,0.9911
1.428e-05,0.0002385,0.9649
1e-05,0.0002379,1.028
1.266e-05,0.0002615,0.9801
8.465e-06,0.0002356,1.054
7.021e-06,0.0002632,1.086
1.388e-05,0.0002493,0.9687
1.061e-05,0.0002472,1.014
6.862e-06,0.0002363,1.091
1.004e-05,0.0002737,1.019
