Kon,Koff,n
5.869e-06,0.002019,0.7505
5.724e-06,0.001922,0.75
6.974e-06,0.001743,0.707
2.028e-05,0.00166,0.5445
1.155e-05,0.002068,0.648
6.889e-06,0.002221,0.7338
3.551e-06,0.00209,0.8268
9.783e-06,0.002166,0.6839
1.462e-05,0.002357,0.6179
3.137e-06,0.002421,0.8451
3.849e-06,0.001833,0.8037
8.669e-06,0.00227,0.6947
1.208e-06,0.001778,0.9562
4.112e-06,0.002427,0.8275
1.694e-05,0.00206,0.5926
1.17e-05,0.001979,0.6509
1.076e-05,0.002281,0.6635
2.1e-05,0.002342,0.5765
3.227e-06,0.002063,0.8389
4.31e-06,0.00185,0.7761
3.7e-06,0.002168,0.827
3.383e-06,0.001821,0.81
1.22e-05,0.001899,0.6374
6.502e-06,0.002608,0.761
3.133e-06,0.002062,0.8395
2.674e-06,0.001927,0.8542
1.727e-05,0.002066,0.6004
8.896e-06,0.001533,0.6482
3.205e-05,0.00201,0.5
8.883e-06,0.001915,0.681
8.431e-06,0.001872,0.6797
1.476e-05,0.002252,0.6085
1.001e-05,0.00239,0.6815
1.355e-05,0.002532,0.636
1.23e-05,0.002284,0.661
7.914e-06,0.002164,0.7162
2.588e-06,0.001844,0.8567
2.603e-06,0.002013,0.8505
7.952e-06,0.00192,0.6813
1.899e-06,0.001861,0.9115
5.585e-06,0.00226,0.7677
3.136e-06,0.001903,0.8397
3.291e-05,0.002185,0.5
1.299e-05,0.001943,0.6212
9.992e-06,0.002011,0.6657
8.951e-06,0.00199,0.6802
7.999e-06,0.001859,0.6956
6.243e-06,0.002198,0.7523
9.982e-06,0.001966,0.6709
5.655e-06,0.001879,0.736
9.253e-06,0.00206,0.6869
2.094e-05,0.001866,0.5478
1.958e-05,0.002391,0.6033
2.833e-06,0.002028,0.8494
1.238e-05,0.002147,0.64
2.878e-06,0.002339,0.864
1.525e-05,0.002308,0.627
3.925e-06,0.00207,0.8014
3.105e-06,0.002105,0.8474
7.16e-06,0.002381,0.7237
8.454e-06,0.002039,0.7053
4.561e-06,0.002251,0.7847
1.359e-06,0.001613,0.9284
1.403e-05,0.001771,0.6108
3.059e-06,0.002489,0.8519
6.347e-06,0.001959,0.7264
9.397e-06,0.002261,0.6947
1.078e-05,0.002244,0.6747
9.203e-06,0.002195,0.6884
1.012e-05,0.001957,0.6694
8.04e-06,0.002086,0.7067
9.863e-06,0.002168,0.6709
2.084e-05,0.002508,0.5817
8.294e-06,0.002374,0.7093
1.79e-05,0.001941,0.5839
1.048e-05,0.002189,0.6793
2.528e-06,0.002371,0.8796
9.598e-06,0.00201,0.6609
1.522e-05,0.002221,0.613
1.104e-05,0.002061,0.6605
1.406e-05,0.001998,0.6124
8.631e-06,0.002438,0.7094
2.596e-06,0.002344,0.8741
7.468e-06,0.002477,0.7389
1.348e-05,0.001885,0.631
7.3e-06,0.002134,0.7192
5.913e-06,0.002451,0.7611
7.368e-06,0.001776,0.7015
4.581e-06,0.002587,0.8149
4.672e-06,0.001788,0.7716
1.465e-05,0.001867,0.6074
3.086e-05,0.002117,0.5124
1.815e-05,0.002091,0.5832
8.218e-06,0.002039,0.7145
8.134e-06,0.001887,0.6823
2.629e-06,0.001958,0.8515
1.561e-05,0.002413,0.63
7.485e-06,0.00217,0.7228
6.254e-06,0.001873,0.7312
1.226e-05,0.001651,0.6234
8.021e-06,0.00207,0.7056
3.059e-06,0.002018,0.8264
2.052e-06,0.002303,0.8748
6.995e-06,0.00215,0.7264
6.852e-06,0.00191,0.7105
3.648e-06,0.002071,0.8048
1.047e-05,0.002255,0.6755
5.463e-06,0.002372,0.7765
8.196e-06,0.001995,0.6929
9.539e-06,0.002217,0.6808
6.456e-06,0.002387,0.7591
1.399e-05,0.002083,0.6295
6.282e-06,0.002099,0.727
8.397e-06,0.002193,0.7152
7.585e-06,0.002259,0.7209
8.278e-06,0.00173,0.6728
6.628e-06,0.001988,0.7326
8.644e-06,0.00215,0.6927
3.113e-06,0.002035,0.8334
3.401e-06,0.001686,0.7949
6.37e-06,0.002343,0.745
1.112e-05,0.002437,0.6806
5.483e-06,0.001987,0.7531
9.64e-06,0.001983,0.6821
1.091e-05,0.001801,0.6417
9.751e-06,0.00192,0.6725
9.179e-06,0.001841,0.6657
5.816e-06,0.002194,0.7417
4.061e-06,0.001959,0.7953
6.507e-06,0.002219,0.7438
3.263e-06,0.001763,0.821
4.043e-06,0.001853,0.8006
4.159e-06,0.002373,0.8101
4.95e-06,0.002041,0.7746
8.412e-06,0.002145,0.7113
8.907e-06,0.002449,0.6945
3.246e-05,0.002396,0.5221
1.803e-05,0.001712,0.5572
1.317e-05,0.002068,0.6184
1.471e-06,0.00186,0.9246
7.676e-06,0.001801,0.6831
6.419e-06,0.001949,0.7392
5.649e-06,0.002117,0.7535
1.11e-05,0.00188,0.6481
9.569e-06,0.002059,0.6805
4.712e-06,0.002191,0.7831
1.297e-05,0.001627,0.6147
4.342e-06,0.002211,0.7965
6.269e-06,0.00227,0.759
9.567e-06,0.002364,0.6777
4.515e-06,0.002255,0.7966
8.813e-06,0.001957,0.6749
2.706e-05,0.001805,0.5
1.201e-05,0.001919,0.6379
2.245e-06,0.002177,0.8968
1.389e-05,0.001565,0.5959
4.3e-06,0.001741,0.7812
3.682e-06,0.001907,0.8132
5.47e-06,0.002355,0.7692
8.604e-06,0.002047,0.7008
3.083e-05,0.002239,0.5
2.931e-06,0.00205,0.8458
5.294e-06,0.001736,0.7409
5.008e-06,0.001866,0.7546
9.04e-06,0.002698,0.7131
5.344e-06,0.002299,0.7761
4.563e-06,0.00187,0.7681
4.641e-06,0.002262,0.8005
3.35e-05,0.00201,0.5
7.691e-06,0.002233,0.7282
9.871e-06,0.00191,0.6725
2.943e-06,0.001862,0.836
1.558e-05,0.00232,0.621
9.604e-06,0.001722,0.6559
1.024e-05,0.00215,0.6775
3.025e-06,0.001936,0.8373
1.735e-05,0.001961,0.5915
7.586e-06,0.002287,0.7232
8.799e-06,0.001946,0.6852
3.037e-05,0.002653,0.5344
8.62e-06,0.001794,0.6814
8.5e-06,0.001985,0.6992
5.273e-06,0.0023,0.767
4.234e-06,0.00199,0.7947
4.041e-06,0.001954,0.8024
1.974e-05,0.001926,0.5639
1.13e-05,0.002471,0.675
5.999e-06,0.001948,0.7386
9.144e-06,0.002596,0.7093
2.73e-06,0.001887,0.8379
1.797e-05,0.001947,0.5861
1.225e-05,0.002023,0.6486
1.52e-05,0.001922,0.5997
1.696e-05,0.002044,0.59
4.164e-06,0.001928,0.7863
6.731e-06,0.002521,0.754
2.49e-05,0.00217,0.5338
2.337e-05,0.001937,0.5329
2.413e-06,0.001994,0.8762
4.132e-06,0.002124,0.7917
6.596e-06,0.002058,0.7354
3.734e-06,0.001922,0.8109
8.147e-06,0.002009,0.6869
1.993e-05,0.001813,0.5553
2.866e-06,0.001877,0.8397
3.853e-06,0.001758,0.7951
6.521e-06,0.002009,0.7257
7.004e-06,0.002411,0.748
1.168e-05,0.001718,0.6239
1.481e-05,0.001887,0.6019
9.67e-06,0.001981,0.6737
1.24e-05,0.002457,0.6653
9.844e-06,0.002218,0.6807
8.506e-06,0.002687,0.7239
3e-05,0.002042,0.5
5.914e-06,0.002205,0.7479
5.191e-06,0.002219,0.7601
1.905e-05,0.002189,0.5754
1.573e-05,0.001998,0.6039
4.092e-06,0.002128,0.804
4.727e-06,0.001926,0.7675
2.549e-06,0.002385,0.8773
6.594e-06,0.00205,0.7326
1.087e-05,0.00224,0.665
1.169e-05,0.001857,0.6334
4.223e-06,0.001868,0.7786
5.79e-06,0.002105,0.7345
3.119e-05,0.001952,0.5
1.399e-05,0.001933,0.6172
5.834e-06,0.001816,0.7352
1.183e-05,0.00192,0.6426
1.36e-05,0.002106,0.6345
6.169e-06,0.002294,0.7611
1.954e-05,0.002007,0.5731
2.48e-05,0.002295,0.5484
5.733e-06,0.002137,0.7547
4.941e-06,0.00197,0.7625
3.901e-06,0.002324,0.8173
1.28e-05,0.001955,0.6312
7.527e-06,0.002323,0.7249
2.033e-06,0.002336,0.922
1.012e-05,0.001851,0.6534
3.331e-06,0.001928,0.8277
2.035e-05,0.002228,0.5681
1.134e-05,0.00234,0.6702
1.685e-05,0.002144,0.6089
4.688e-06,0.001955,0.7704
6.876e-06,0.002257,0.7337
3.991e-06,0.002481,0.8145
3.691e-06,0.001827,0.8075
4.037e-06,0.001599,0.7877
1.017e-05,0.00231,0.6906
9.821e-06,0.002192,0.6773
1.295e-05,0.002197,0.6465
4.056e-06,0.002241,0.8085
1.091e-05,0.002149,0.6698
1.777e-05,0.001873,0.5882
2.611e-05,0.001639,0.5096
1.152e-05,0.002032,0.6529
8.281e-06,0.002073,0.7118
6.177e-06,0.002797,0.7626
1.349e-05,0.002,0.6334
1.752e-06,0.002621,0.9419
4.9e-06,0.001705,0.7573
2.528e-05,0.002415,0.5579
5.718e-06,0.00251,0.7559
1.125e-05,0.001754,0.6273
3.672e-06,0.002337,0.8254
7.405e-06,0.001627,0.6985
1.175e-05,0.002394,0.6697
1.036e-05,0.002029,0.6758
4.516e-06,0.002307,0.7849
6.033e-06,0.002314,0.7429
6.421e-06,0.002319,0.7325
2.024e-05,0.002403,0.5889
6.201e-06,0.001945,0.7278
2.49e-05,0.001797,0.5254
4.681e-06,0.001682,0.7509
6.551e-06,0.002055,0.7257
1.142e-05,0.002019,0.6605
9.803e-06,0.001951,0.6759
1.118e-05,0.002168,0.6529
8.357e-06,0.002553,0.7189
7.398e-06,0.002026,0.6979
8.377e-06,0.002143,0.7083
9.444e-06,0.001923,0.6861
3.154e-06,0.002049,0.8331
1.317e-05,0.002569,0.6556
6.751e-06,0.002018,0.7385
1.384e-05,0.002147,0.6269
2.575e-05,0.001849,0.5317
7.413e-06,0.00178,0.7002
3.3e-06,0.00208,0.8253
4.846e-06,0.002377,0.795
1.291e-05,0.001721,0.6254
7.746e-06,0.002002,0.7093
3.239e-06,0.002172,0.8391
1.101e-05,0.002458,0.6861
3.557e-06,0.002197,0.8348
2.154e-05,0.002409,0.5769
7.235e-06,0.002073,0.7148
1.85e-05,0.001996,0.5668
2.503e-05,0.002579,0.5563
1.431e-05,0.001965,0.6154
1.729e-05,0.002137,0.5955
6.034e-06,0.002086,0.754
8.989e-06,0.001884,0.6888
1.761e-05,0.002301,0.6114
1.86e-05,0.001971,0.5731
1.578e-05,0.001956,0.6021
1.32e-05,0.002303,0.6436
1.586e-05,0.002351,0.6256
9.931e-06,0.002222,0.6798
1.761e-05,0.001757,0.5682
4.531e-06,0.002199,0.7819
1.796e-05,0.002042,0.5896
2.01e-05,0.001821,0.5587
1.076e-05,0.00312,0.7018
1.395e-05,0.002153,0.6291
6.821e-06,0.002345,0.7367
1.784e-05,0.001976,0.5813
1.961e-05,0.001998,0.5673
3.657e-06,0.002271,0.8252
1.445e-05,0.002003,0.6249
7.178e-06,0.001726,0.6884
6.489e-06,0.002082,0.7472
5.182e-06,0.001853,0.7436
7.656e-06,0.002361,0.7307
4.614e-06,0.001972,0.7757
1.599e-05,0.001896,0.5937
3.656e-06,0.001905,0.81
1.644e-05,0.001951,0.5962
1.098e-05,0.001822,0.6426
4.364e-06,0.001678,0.7509
4.654e-06,0.001798,0.7691
1.342e-05,0.0025,0.6391
9.447e-06,0.002464,0.6961
2.698e-05,0.002206,0.5485
8.656e-06,0.001914,0.6807
7.388e-06,0.00209,0.7195
1.051e-05,0.002373,0.6717
8.125e-06,0.001915,0.6947
1.633e-05,0.002475,0.6215
2.235e-05,0.001792,0.5487
5.684e-06,0.00253,0.7791
7.656e-06,0.00196,0.7058
1.135e-05,0.002277,0.6735
1.258e-05,0.002183,0.641
1.754e-05,0.002151,0.5917
1.741e-05,0.002425,0.6092
3.254e-05,0.002248,0.5
1.053e-05,0.002639,0.7073
6.653e-06,0.002309,0.7295
8.624e-06,0.00168,0.6742
1.897e-05,0.001889,0.5537
2.937e-06,0.001843,0.8381
6.802e-06,0.002073,0.7358
4.971e-06,0.00202,0.7719
9.319e-06,0.002132,0.6845
7.001e-06,0.00239,0.741
7.376e-06,0.002075,0.7093
1.256e-05,0.002363,0.6579
3.444e-06,0.002312,0.8316
1.042e-05,0.001653,0.637
1.146e-05,0.001742,0.6307
1.66e-05,0.001797,0.5825
7.486e-06,0.001965,0.6985
6.288e-06,0.001819,0.7237
2.125e-06,0.001982,0.886
8.229e-06,0.002191,0.7068
8.53e-06,0.002342,0.7161
3.932e-06,0.001875,0.8096
5.569e-06,0.001912,0.7462
2.074e-05,0.002084,0.5742
7.53e-06,0.002592,0.729
1.959e-05,0.002029,0.5811
1.132e-05,0.001734,0.6368
1.622e-05,0.002356,0.6085
7.061e-06,0.002321,0.7488
5.847e-06,0.002069,0.7509
1.321e-05,0.001903,0.6316
7.701e-06,0.00192,0.7016
4.871e-06,0.002164,0.7851
4.85e-06,0.002031,0.7704
1.967e-05,0.002234,0.5853
9.918e-06,0.002771,0.693
1.086e-05,0.001994,0.6572
7.826e-06,0.002347,0.7233
9.515e-06,0.001902,0.6646
8.291e-06,0.00189,0.6716
3.644e-06,0.002303,0.8262
1.747e-05,0.001713,0.5552
3.464e-06,0.00211,0.8189
4.402e-06,0.001772,0.7779
4.448e-06,0.001955,0.7874
2.184e-05,0.002037,0.5601
7.324e-06,0.002225,0.7128
1.631e-05,0.001836,0.5973
7.811e-06,0.001914,0.6927
4.169e-06,0.001797,0.782
6.552e-06,0.001856,0.7169
9.165e-06,0.002147,0.6866
2.179e-06,0.002131,0.8849
1.156e-05,0.001852,0.6406
1.036e-05,0.002083,0.684
2.285e-05,0.0017,0.534
1.051e-05,0.002096,0.6751
3.699e-06,0.002208,0.8215
3.246e-06,0.001827,0.8404
4.862e-06,0.002205,0.7908
2.659e-06,0.002053,0.8521
7.48e-06,0.001832,0.6992
2.311e-06,0.002005,0.8681
1.018e-05,0.002109,0.6723
5.882e-06,0.001884,0.7412
1.189e-05,0.001956,0.6434
2.731e-06,0.002996,0.8794
1.954e-06,0.002177,0.9001
4.459e-06,0.002253,0.8021
1.253e-05,0.001707,0.6175
4.145e-06,0.001806,0.779
6.057e-06,0.00245,0.7481
4.757e-06,0.001846,0.7642
7.455e-06,0.002143,0.7161
4.175e-06,0.001851,0.7789
3.081e-06,0.002215,0.8483
1.795e-06,0.002235,0.9272
1.278e-05,0.002074,0.6347
1.912e-06,0.002029,0.9012
1.46e-05,0.001937,0.6057
7.497e-06,0.00216,0.7052
6.562e-06,0.002488,0.7569
1.322e-05,0.002397,0.648
9.036e-06,0.002251,0.6991
7.221e-06,0.002146,0.732
6.899e-06,0.001967,0.7214
8.661e-06,0.002427,0.704
6.313e-06,0.001889,0.7046
3.461e-05,0.002321,0.5
8.25e-06,0.001923,0.6924
1.233e-05,0.002337,0.6533
8.446e-06,0.002092,0.6994
4.588e-06,0.002261,0.793
1.485e-05,0.001989,0.6285
8.667e-06,0.002076,0.6966
7.722e-06,0.00205,0.7192
4.866e-06,0.002021,0.7741
1.419e-05,0.001703,0.5947
1.479e-05,0.002215,0.6191
1.138e-05,0.002328,0.6686
1.186e-05,0.002022,0.6469
9.276e-06,0.002069,0.6946
7.15e-06,0.002153,0.7218
9.207e-06,0.001835,0.6784
2.064e-06,0.00176,0.8828
2.139e-05,0.001864,0.558
1.159e-05,0.001877,0.6398
3.18e-06,0.002034,0.8369
7.101e-06,0.001649,0.685
5.638e-06,0.00215,0.7629
1.839e-05,0.001834,0.5689
4.393e-06,0.002335,0.8024
1.304e-05,0.001978,0.6321
1.391e-05,0.002112,0.6302
4.72e-06,0.002058,0.7737
1.182e-05,0.002147,0.6654
3.431e-06,0.002036,0.8225
6.492e-06,0.002085,0.7347
6.549e-06,0.001844,0.7367
1.322e-05,0.001918,0.6156
4.521e-06,0.002299,0.8019
4.713e-06,0.001991,0.7728
1.095e-05,0.001877,0.6597
1.473e-05,0.00211,0.6177
4.493e-06,0.002063,0.7851
4.885e-06,0.001886,0.7706
1.339e-05,0.001925,0.6302
2.748e-06,0.002095,0.8584
3.816e-06,0.001955,0.8044
7.514e-06,0.002069,0.719
2.196e-06,0.001965,0.8875
2.467e-06,0.001885,0.8431
3.44e-06,0.002017,0.8283
9.019e-06,0.002395,0.7063
6.619e-06,0.001919,0.7204
2.924e-06,0.002582,0.8659
6.548e-06,0.002232,0.7486
1.326e-05,0.001771,0.6187
4.381e-06,0.001976,0.7904
5.035e-06,0.0018,0.7576
7.586e-06,0.002075,0.7133
6.376e-06,0.002015,0.7384
4.496e-06,0.001872,0.7772
1.554e-05,0.002388,0.6305
1.823e-06,0.002189,0.9266
1.915e-06,0.002158,0.9126
6.177e-06,0.002069,0.7412
2.608e-06,0.001847,0.8472
1.003e-05,0.002225,0.6649
9.499e-06,0.001928,0.6733
1.856e-05,0.002201,0.589
2.255e-05,0.002241,0.5676
4.476e-06,0.00262,0.8022
1.047e-05,0.002077,0.6685
4.848e-06,0.002392,0.7935
7.954e-06,0.002287,0.7044
4.013e-06,0.002142,0.8112
9.792e-06,0.001811,0.6629
1.009e-05,0.002017,0.6576
3.889e-06,0.001824,0.7858
9.198e-06,0.00242,0.6992
8.128e-06,0.002015,0.7013
1.003e-05,0.002434,0.6727
2.046e-05,0.002097,0.5736
7.171e-06,0.002615,0.7464
3.174e-06,0.001874,0.8232
1.774e-05,0.002107,0.6007
2.633e-05,0.002047,0.5307
1.646e-05,0.002341,0.6139
3.669e-06,0.001634,0.7782
1.427e-05,0.002167,0.6368
9.985e-06,0.001937,0.6707
6.381e-06,0.002329,0.7572
1.381e-05,0.001592,0.5885
2.441e-06,0.002048,0.8772
7.473e-06,0.002073,0.7115
5.358e-06,0.002011,0.7586
1.701e-06,0.002275,0.9263
9.876e-06,0.002208,0.6975
1.081e-05,0.002285,0.6742
9.115e-06,0.002143,0.6978
1.171e-05,0.002017,0.6402
5.112e-06,0.001797,0.7454
5.248e-06,0.002253,0.7802
8.083e-06,0.001827,0.6867
6.839e-06,0.001815,0.7172
4.005e-06,0.002056,0.814
1.188e-05,0.001807,0.6294
7.815e-06,0.001874,0.6974
1.808e-05,0.00206,0.5897
1.202e-05,0.002045,0.6411
4.608e-06,0.002393,0.7978
1.273e-05,0.002065,0.6274
2.278e-05,0.002255,0.5572
3.508e-06,0.002186,0.8271
3.439e-06,0.001953,0.8238
5.846e-06,0.002344,0.7653
5.673e-06,0.002213,0.7566
5.519e-06,0.002033,0.7517
1.998e-05,0.001875,0.5703
1.153e-05,0.002182,0.6549
1.198e-05,0.002303,0.6663
3.113e-06,0.002376,0.842
1.25e-05,0.001888,0.6255
1.521e-05,0.001664,0.596
2.543e-06,0.001754,0.8488
5.52e-06,0.002466,0.7659
7.811e-06,0.00215,0.7117
5.626e-06,0.001993,0.7514
8.762e-06,0.001877,0.6831
6.178e-06,0.002106,0.731
9.86e-06,0.002173,0.6813
6.367e-06,0.002588,0.7533
1.222e-05,0.001941,0.6465
2.403e-05,0.002409,0.5576
8.241e-06,0.002326,0.7136
4.399e-06,0.00214,0.7856
3.716e-06,0.002248,0.8166
7.821e-06,0.002113,0.7028
9.133e-06,0.00224,0.7041
1.009e-05,0.001816,0.6529
8.807e-06,0.002489,0.7208
3.061e-05,0.002023,0.5167
1.243e-05,0.002356,0.6466
1.262e-05,0.002025,0.6311
1.982e-05,0.001933,0.5673
2.004e-06,0.002099,0.914
6.321e-06,0.002078,0.7297
1.561e-05,0.002463,0.6275
2.805e-05,0.001798,0.5177
1.821e-06,0.002111,0.9165
1.816e-05,0.002115,0.5938
2.561e-05,0.001708,0.5184
2.218e-05,0.002249,0.5567
2.054e-05,0.001974,0.5583
9.29e-06,0.001846,0.6704
1.146e-05,0.002252,0.647
2.564e-06,0.002144,0.8811
1.865e-05,0.002226,0.6004
1.315e-05,0.002285,0.6526
7.158e-06,0.001962,0.7149
3.398e-06,0.002284,0.8315
1.549e-05,0.00152,0.5791
3.238e-06,0.002077,0.8357
5.148e-06,0.001968,0.7537
5.707e-06,0.002105,0.7522
7.389e-06,0.002015,0.7058
1.246e-05,0.002527,0.6581
5.655e-06,0.002178,0.7494
9.525e-06,0.001777,0.6571
6.998e-06,0.002081,0.7241
1.502e-05,0.002309,0.6311
4.433e-06,0.00239,0.7953
6.226e-06,0.001917,0.739
8.017e-06,0.002659,0.7339
1.017e-05,0.002096,0.6793
1.968e-05,0.001986,0.5752
6.104e-06,0.001956,0.7461
6.775e-06,0.002303,0.7355
5.331e-06,0.002349,0.7818
8.818e-06,0.002101,0.6903
4.506e-06,0.002011,0.7876
7.775e-06,0.002379,0.7154
1.234e-05,0.001863,0.6206
1.449e-06,0.001861,0.9269
8.502e-06,0.002264,0.7092
2.407e-05,0.002633,0.5681
7.004e-06,0.001962,0.7103
6.225e-06,0.002387,0.7552
6.597e-06,0.001983,0.7325
8.815e-06,0.001975,0.6968
6.58e-06,0.002113,0.7396
5.251e-06,0.00269,0.7737
1.339e-05,0.002177,0.6441
4.943e-06,0.002043,0.768
5.871e-06,0.001789,0.7348
5.309e-06,0.002115,0.764
1.487e-05,0.002945,0.6499
9.404e-06,0.001673,0.6463
3.964e-06,0.00212,0.7934
1.35e-05,0.002133,0.6279
8.056e-06,0.002155,0.7194
2.972e-06,0.002516,0.8665
1.364e-05,0.002152,0.6338
4.516e-06,0.001854,0.7704
1.916e-05,0.002174,0.5791
7.066e-06,0.002391,0.7285
4.898e-06,0.002304,0.794
6.849e-06,0.002109,0.7294
1.303e-05,0.002275,0.6397
1.731e-05,0.001731,0.5719
8.097e-06,0.002186,0.714
2.977e-05,0.001756,0.5
7.511e-06,0.002125,0.7082
5.854e-06,0.002256,0.749
2.652e-05,0.001946,0.5288
4.21e-06,0.002536,0.8203
6.861e-06,0.002204,0.7359
3.756e-06,0.001927,0.8028
4.992e-06,0.002358,0.7831
4.663e-06,0.00223,0.7922
2.692e-05,0.002022,0.5302
5.709e-06,0.001958,0.7437
3.885e-06,0.002148,0.8144
1.185e-05,0.002171,0.6534
1.285e-05,0.002268,0.6441
2.651e-06,0.002023,0.8536
5.338e-06,0.001835,0.7566
1.113e-05,0.001972,0.6551
7.21e-06,0.002215,0.7141
1.452e-05,0.001913,0.6125
1.46e-05,0.001792,0.602
1.239e-05,0.002752,0.6775
1.139e-05,0.002124,0.6603
9.327e-06,0.002187,0.6962
1.022e-05,0.002254,0.6882
